Min;Max;Mean;Stdv
14.00;10588825322138.00;21896131859;224002067182888352219136
13.37;28363504.69;70649;1633041198712
13.37;37472.73;530;4119065
13.37;15962.86;200;621940
13.37;4036.07;221;74277
13.23;76869.01;421;11862935
13.23;8224.90;334;282309
13.23;6182.91;306;112575
13.23;135369.37;577;36459165
13.23;9726.40;341;258602
13.23;2463.97;152;63312
13.23;476.65;40;5202
13.23;1664.77;34;13042
13.20;393.93;22;503
13.20;426.32;22;489
13.20;1791.13;26;9285
13.12;3599.35;36;28190
12.37;94978.80;222;17994647
8.63;463294.73;961;428364289
8.50;11124.17;68;261652
8.26;20395.83;75;829047
8.26;15051.64;81;558523
8.26;1122.55;37;6090
8.26;2663.70;73;15440
8.26;13832.38;67;386098
8.26;5036.61;42;78970
8.26;1892.87;26;8130
8.26;13054.42;56;381516
8.26;2424.10;27;15462
8.26;9061.16;40;171257
8.26;2335.92;33;28155
7.08;860.32;22;2786
7.08;101449.97;222;20535781
6.72;1665.24;21;5841
6.72;3659.84;29;31952
6.72;10020.70;45;222210
6.72;102.42;17;47
6.72;3352.00;25;22375
6.72;1961.88;23;8053
6.72;2716.61;23;15275
6.72;557.15;18;639
6.72;765.26;18;1143
6.19;314.15;16;183
6.19;329.47;16;198
6.19;119.27;16;28
6.19;48.42;16; 4
6.19;290.18;16;169
6.19;162.96;16;56
5.87;34.08;16; 2
5.61;76.94;16;17
5.61;71.26;16;13
5.56;111.77;16;27
5.56;98.78;16;17
5.56;47.76;16; 6
5.56;43.40;16; 4
5.56;65.91;16; 8
5.56;53.18;16; 6
5.56;82.76;16;22
5.56;45.26;16; 4
5.56;79.67;16;11
5.56;128.14;16;39
5.56;207.28;16;76
5.53;67.79;17;10
5.53;345.35;17;222
5.53;1086.87;19;2333
5.53;204.50;17;95
5.53;115.32;17;40
5.53;49.61;16; 5
5.53;42.92;16; 4
5.53;224.57;16;123
5.39;430.20;18;528
5.39;90.23;16;31
5.39;1286.69;21;4811
5.39;1257.95;20;3847
5.37;174.60;16;57
4.78;273.80;16;144
4.78;228.86;16;99
4.75;1044.25;46;2647
4.00;10125.84;94;241122
4.00;1860.55;68;16795
4.00;2914.70;85;42783
3.79;4216.26;75;37659
3.79;2800.60;90;44932
3.79;4006.98;82;37116
3.79;4107.25;102;70241
3.79;1860.55;86;15471
3.79;10125.84;106;229223
3.79;22739.74;130;1308870
3.79;2569.83;56;16751
3.79;67030.61;170;8968925
3.79;773.03;23;1978
3.79;165.83;19;267
3.79;3267.10;32;26996
3.79;1187.41;27;6947
3.79;896.75;22;2919
3.71;989.84;25;6632
3.71;569.70;13;716
3.71;190.83;11;80
3.71;64.62;12;29
3.71;199.58;32;426
3.71;435.41;17;553
3.71;5540.77;33;102040
3.71;308.67;15;704
3.71;270.16;13;202
3.71;167.37;12;57
3.71;111.42;12;25
3.70;106.55;13;55
3.70;143.26;13;66
3.70;101.33;12;22
3.70;347.26;14;414
3.70;266257.72;546;141488643
3.70;266257.72;147516;17513920870
3.70;5955234.40;199140;93118346295
3.70;19425791.56;251809;777914658338
3.70;1111451.12;209524;15224540169
3.70;6777757.02;242163;114398567715
3.70;8198270.30;111729;216488966023
3.70;763766.33;5978;1999444676
3.70;137025.81;294;37467997
3.70;2394.32;23;15924
3.70;1005.99;11;2175
3.04;13836.52;50;391227
2.73;4362.78;32;47143
2.73;12060.65;43;311920
2.73;10705.78;118;235017
2.73;823.35;45;4300
2.73;2476.12;121;19897
2.73;5131.63;166;106376
2.73;14188.86;121;486723
2.73;9088.45;75;255945
2.73;713.19;39;3407
2.73;749.94;40;4478
2.64;4640.69;48;48502
2.64;46704.96;166;4347435
2.64;938.69;45;6414
2.64;3014.08;49;30524
2.64;1307.13;42;7101
2.64;763.80;39;3555
2.64;3229.81;43;22929
2.64;776.63;40;4467
2.64;483.45;36;1239
2.64;678.94;50;3559
2.64;3817.94;62;34441
2.64;3986.04;57;33703
2.64;1778.48;61;14016
2.64;688.20;54;3163
2.64;1121.43;58;7800
2.64;1114.36;37;5056
2.50;2049.81;31;9136
2.50;605.78;26;1039
2.50;194.25;24;315
2.50;753.67;24;2317
2.50;688.40;28;1631
2.50;857.43;29;1662
2.50;42064.19;137;3636936
2.50;11727.49;83;537864
2.50;993.81;20;4908
2.44;2419.90;26;15749
2.44;5454.47;36;73184
2.44;993.81;33;5041
2.44;832.92;35;3124
2.44;1191.92;29;3924
2.44;360.48;21;466
2.44;224.02;18;205
2.44;384.05;16;334
2.44;103.93;16;66
2.44;100.62;16;72
2.44;65.62;16;17
2.44;92.23;16;45
2.44;1631.03;24;9320
2.44;846.89;18;1425
2.44;820.47;18;1374
2.44;124.49;15;46
2.44;575.26;17;692
2.44;575.26;17;1351
2.44;305.49;55;1318
2.44;508.15;63;2105
2.44;604.15;66;2898
2.44;1156.33;67;4205
2.44;35170.47;136;2463736
2.44;1105.74;30;4608
2.44;208.98;19;196
2.44;107.66;17;61
2.44;158.77;17;90
2.44;365.55;19;294
2.44;438.93;21;493
2.44;781.32;24;2282
2.44;341.69;25;1403
2
